Heart_Rate,Acceleration,SpO2,Temperature,Predicted_Sleep_Stage
86,0.06,97,36.1,Light Sleep
80,0.05,99,35.9,Deep Sleep
120,0.58,91,36.6,Sleep Disturbance
100,0.58,93,36.7,Sleep Disturbance
95,0.83,90,36.7,Sleep Disturbance
88,0.18,97,36.0,Light Sleep
72,0.02,97,36.1,Deep Sleep
118,1.14,91,36.7,Sleep Disturbance
87,0.56,95,36.5,Awake
103,0.66,98,36.5,Awake
68,0.04,97,36.1,Deep Sleep
79,0.05,100,35.9,Deep Sleep
82,0.17,96,36.2,Light Sleep
100,1.5,95,37.0,Sleep Disturbance
90,0.29,95,36.4,REM
84,0.27,99,36.5,REM
101,1.0,91,37.0,Sleep Disturbance
71,0.12,95,36.0,Light Sleep
94,0.19,96,36.3,REM
87,0.17,99,36.1,Light Sleep
87,0.15,95,36.4,REM
98,0.45,94,36.6,Awake
79,0.02,98,35.8,Deep Sleep
107,0.5,97,36.7,Awake
77,0.05,96,36.0,Light Sleep
62,0.03,100,36.2,Deep Sleep
111,0.61,91,36.7,Sleep Disturbance
84,0.18,96,36.3,Light Sleep
88,0.22,98,36.4,REM
77,0.11,96,36.3,Light Sleep
113,1.31,92,36.9,Sleep Disturbance
87,0.14,96,36.4,REM
78,0.03,98,35.9,Deep Sleep
87,0.09,97,36.3,Light Sleep
72,0.03,96,35.9,Deep Sleep
77,0.07,99,36.2,Light Sleep
88,0.17,95,36.5,REM
116,0.9,95,36.8,Sleep Disturbance
65,0.0,100,36.1,Deep Sleep
72,0.1,99,36.2,Light Sleep
94,1.5,93,36.9,Sleep Disturbance
73,0.01,100,36.1,Deep Sleep
93,0.78,95,36.7,Awake
66,0.04,96,36.0,Deep Sleep
109,0.58,94,36.8,Sleep Disturbance
61,0.02,98,36.1,Deep Sleep
76,0.14,96,36.2,Light Sleep
102,0.69,97,36.7,Awake
108,0.62,98,36.5,Awake
100,1.07,90,37.0,Sleep Disturbance
82,0.19,97,36.4,REM
108,1.49,92,36.5,Sleep Disturbance
99,0.46,97,36.4,Awake
86,0.96,98,36.7,Awake
86,0.35,97,36.6,Awake
81,0.14,98,36.1,Light Sleep
110,0.55,95,36.6,Awake
98,0.85,94,36.5,Awake
104,0.9,94,36.9,Sleep Disturbance
72,0.03,96,36.1,Deep Sleep
110,0.72,90,36.9,Sleep Disturbance
85,0.25,97,36.2,REM
97,1.18,92,36.9,Sleep Disturbance
89,0.7,94,36.7,Awake
79,0.12,98,36.3,Light Sleep
82,0.2,97,36.4,REM
79,0.03,98,36.2,Deep Sleep
73,0.03,96,36.0,Deep Sleep
88,0.22,97,36.3,REM
108,0.51,94,36.6,Awake
83,0.18,98,36.4,REM
91,0.29,99,36.1,REM
69,0.01,100,36.1,Deep Sleep
72,0.07,99,36.1,Light Sleep
104,0.36,98,36.7,Awake
90,0.53,92,37.0,Sleep Disturbance
102,0.92,98,36.8,Awake
82,0.11,96,36.2,Light Sleep
76,0.0,98,35.9,Deep Sleep
93,0.14,97,36.3,REM
79,0.03,98,35.8,Deep Sleep
71,0.05,99,35.9,Deep Sleep
108,0.99,96,36.5,Awake
73,0.05,96,36.1,Light Sleep
79,0.14,96,36.3,Light Sleep
79,0.13,97,36.3,REM
90,0.52,94,36.6,Awake
79,0.01,97,36.1,Deep Sleep
101,1.05,92,36.5,Sleep Disturbance
87,0.53,98,36.7,Awake
88,0.23,97,36.4,REM
89,0.73,96,36.5,Awake
75,0.1,97,36.3,Light Sleep
118,1.37,90,36.9,Sleep Disturbance
83,0.17,97,36.2,REM
76,0.18,96,36.0,Light Sleep
76,0.29,97,36.1,REM
110,0.49,95,36.8,Awake
99,0.56,93,36.6,Sleep Disturbance
84,0.11,96,36.1,Light Sleep
73,0.04,100,36.2,Deep Sleep
93,0.18,98,36.2,REM
110,0.73,95,36.9,Sleep Disturbance
81,0.26,95,36.3,REM
86,0.09,98,36.1,Light Sleep
80,0.03,99,35.8,Deep Sleep
94,0.19,96,36.4,REM
103,1.33,94,37.0,Sleep Disturbance
104,0.72,94,37.0,Sleep Disturbance
111,0.52,94,37.0,Sleep Disturbance
76,0.04,99,36.0,Deep Sleep
79,0.29,99,36.2,REM
102,0.86,95,36.6,Awake
66,0.01,98,35.9,Deep Sleep
96,0.89,96,36.7,Awake
76,0.28,95,36.3,REM
109,0.43,98,36.8,Awake
75,0.01,100,35.9,Deep Sleep
118,0.7,90,36.9,Sleep Disturbance
95,0.77,90,36.8,Sleep Disturbance
98,1.4,90,36.5,Sleep Disturbance
110,0.35,98,36.4,Awake
82,0.06,96,36.1,Light Sleep
90,0.07,97,36.0,Light Sleep
88,0.1,98,36.3,Light Sleep
86,0.25,99,36.3,REM
87,0.25,95,36.1,REM
92,0.48,96,36.7,Awake
93,1.29,90,36.9,Sleep Disturbance
78,0.15,99,36.1,Light Sleep
87,0.87,98,36.5,Awake
89,0.48,98,36.5,Awake
87,0.74,97,36.4,Awake
98,0.69,94,36.6,Awake
71,0.04,100,35.9,Deep Sleep
100,0.58,96,36.5,Awake
87,0.34,95,36.8,Awake
71,0.02,97,35.9,Deep Sleep
98,0.98,97,36.5,Awake
70,0.14,95,36.2,Light Sleep
75,0.01,96,36.1,Deep Sleep
80,0.11,97,36.3,REM
119,0.81,93,36.6,Sleep Disturbance
92,0.76,96,36.4,Awake
65,0.02,96,36.0,Deep Sleep
80,0.23,97,36.5,REM
104,0.51,95,36.8,Sleep Disturbance
120,0.96,95,36.8,Sleep Disturbance
113,1.16,91,36.9,Sleep Disturbance
93,0.67,98,36.8,Awake
63,0.04,97,36.1,Deep Sleep
106,0.96,97,36.5,Awake
95,0.11,98,36.3,REM
94,0.43,96,36.8,Awake
110,0.62,96,36.7,Awake
95,0.18,98,36.4,REM
96,0.39,95,36.7,Awake
94,0.12,98,36.2,REM
77,0.3,99,36.5,REM
90,1.4,95,36.5,Sleep Disturbance
100,0.35,98,36.4,Awake
88,0.59,96,36.8,Awake
94,0.27,95,36.3,REM
100,0.34,97,36.6,Awake
97,0.83,97,36.4,Awake
80,0.19,99,36.2,REM
62,0.03,98,35.9,Deep Sleep
92,0.15,95,36.2,REM
69,0.01,100,36.0,Deep Sleep
71,0.17,98,36.2,Light Sleep
109,1.24,92,36.5,Sleep Disturbance
85,0.25,98,36.2,REM
82,0.08,95,36.1,Light Sleep
92,0.67,97,36.8,Awake
107,0.3,98,36.6,Awake
89,0.27,95,36.2,REM
78,0.18,95,36.4,REM
103,1.5,90,36.7,Sleep Disturbance
80,0.27,99,36.2,REM
102,0.34,96,36.7,Awake
98,1.5,92,36.7,Sleep Disturbance
79,0.0,98,36.1,Deep Sleep
88,0.21,98,36.4,REM
92,0.56,90,36.6,Sleep Disturbance
86,0.38,94,36.7,Awake
85,0.56,97,36.5,Awake
85,0.36,96,36.5,Awake
90,0.12,96,36.1,Light Sleep
71,0.04,99,36.0,Deep Sleep
63,0.0,99,35.9,Deep Sleep
103,0.97,94,36.8,Sleep Disturbance
75,0.12,97,36.1,REM
82,0.12,96,36.5,REM
90,0.07,97,36.1,Light Sleep
104,0.7,93,36.8,Sleep Disturbance
72,0.12,98,36.1,Light Sleep
88,0.14,99,36.0,Light Sleep
87,0.18,95,36.5,REM
88,0.17,98,36.3,REM
102,0.34,98,36.8,Awake
82,0.26,99,36.4,REM
99,0.35,94,36.6,Awake
104,0.69,98,36.6,Awake
94,1.02,95,36.8,Sleep Disturbance
90,0.24,98,36.2,REM
78,0.13,95,36.4,Light Sleep
72,0.08,95,36.4,Light Sleep
99,0.51,97,36.5,Awake
87,0.11,98,36.1,Light Sleep
63,0.01,97,35.8,Deep Sleep
70,0.13,98,36.4,Light Sleep
95,0.92,93,36.6,Sleep Disturbance
98,0.48,96,36.8,Awake
84,0.11,96,36.1,Light Sleep
80,0.02,99,36.1,Deep Sleep
68,0.01,98,35.9,Deep Sleep
103,0.59,97,36.5,Awake
104,0.31,96,36.6,Awake
90,0.18,97,36.2,Light Sleep
90,0.17,96,36.1,Light Sleep
79,0.01,100,35.8,Deep Sleep
100,0.37,96,36.6,Awake
110,0.92,92,36.8,Sleep Disturbance
83,0.11,99,36.3,Light Sleep
88,0.22,98,36.1,REM
76,0.18,96,36.2,Light Sleep
96,0.81,98,36.7,Awake
110,1.24,94,36.8,Sleep Disturbance
80,0.19,98,36.3,Light Sleep
75,0.17,99,36.1,Light Sleep
79,0.25,97,36.5,REM
83,0.28,97,36.4,REM
78,0.16,95,36.4,REM
80,0.1,96,36.3,Light Sleep
73,0.02,96,36.1,Deep Sleep
77,0.04,97,36.0,Deep Sleep
89,0.1,97,36.1,Light Sleep
92,0.62,98,36.5,Awake
97,0.58,91,36.9,Sleep Disturbance
115,1.11,94,36.6,Sleep Disturbance
92,0.1,97,36.3,REM
64,0.0,97,35.9,Deep Sleep
82,0.28,95,36.2,REM
94,0.42,94,36.7,Awake
89,0.06,99,36.1,Light Sleep
61,0.01,100,36.2,Deep Sleep
103,0.75,94,36.5,Awake
84,0.12,96,36.2,REM
86,0.19,97,36.1,Light Sleep
105,0.83,97,36.6,Awake
119,0.72,92,36.9,Sleep Disturbance
109,1.23,90,36.9,Sleep Disturbance
80,0.02,97,36.0,Deep Sleep
95,0.19,95,36.2,REM
94,1.4,90,36.9,Sleep Disturbance
96,0.8,90,37.0,Sleep Disturbance
90,0.19,96,36.5,REM
68,0.04,99,36.1,Deep Sleep
77,0.22,97,36.2,REM
99,0.6,95,36.5,Awake
108,1.31,91,36.9,Sleep Disturbance
90,0.82,90,37.0,Sleep Disturbance
85,0.84,98,36.6,Awake
67,0.04,96,36.0,Deep Sleep
105,0.62,90,36.9,Sleep Disturbance
111,0.99,92,36.8,Sleep Disturbance
84,0.12,97,36.2,Light Sleep
92,0.22,98,36.1,REM
78,0.01,97,36.1,Deep Sleep
89,0.29,97,36.2,REM
116,0.58,93,36.6,Sleep Disturbance
91,0.22,98,36.5,REM
90,0.71,96,36.5,Awake
90,0.14,97,36.3,Light Sleep
72,0.04,96,35.9,Deep Sleep
87,0.3,99,36.3,REM
80,0.24,98,36.4,REM
107,0.48,98,36.7,Awake
93,0.87,95,36.8,Sleep Disturbance
80,0.05,96,35.9,Deep Sleep
63,0.01,97,36.0,Deep Sleep
92,0.12,97,36.4,REM
86,0.17,97,36.2,REM
80,0.23,95,36.3,REM
71,0.03,96,36.1,Deep Sleep
88,0.12,98,36.2,Light Sleep
80,0.03,96,35.9,Deep Sleep
106,0.9,95,36.8,Sleep Disturbance
73,0.17,96,36.2,Light Sleep
86,0.44,98,36.7,Awake
69,0.0,97,36.0,Deep Sleep
70,0.01,100,35.9,Deep Sleep
84,0.09,96,36.1,Light Sleep
86,0.93,96,36.7,Awake
64,0.0,96,36.0,Deep Sleep
66,0.03,100,35.9,Deep Sleep
91,0.35,95,36.5,Awake
111,1.25,90,36.6,Sleep Disturbance
62,0.01,97,36.0,Deep Sleep
96,0.3,95,36.8,Awake
98,1.38,94,36.8,Sleep Disturbance
108,1.33,91,36.6,Sleep Disturbance
107,0.5,94,36.7,Sleep Disturbance
71,0.01,100,36.1,Deep Sleep
87,0.2,98,36.1,Light Sleep
75,0.0,99,36.1,Deep Sleep
80,0.14,96,36.2,Light Sleep
79,0.02,96,35.9,Deep Sleep
85,0.3,99,36.1,REM
118,0.86,91,36.8,Sleep Disturbance
61,0.04,97,36.0,Deep Sleep
83,0.16,95,36.2,REM
94,0.94,94,36.7,Awake
110,1.36,92,36.6,Sleep Disturbance
75,0.2,98,36.3,REM
89,0.73,94,36.5,Awake
77,0.06,96,36.2,Light Sleep
62,0.0,97,36.1,Deep Sleep
79,0.1,97,36.1,Light Sleep
93,0.24,98,36.4,REM
69,0.02,96,36.0,Deep Sleep
97,0.53,95,36.7,Awake
91,0.17,99,36.4,REM
73,0.02,100,36.1,Deep Sleep
72,0.03,98,35.8,Deep Sleep
84,0.07,96,36.0,Light Sleep
64,0.03,100,36.2,Deep Sleep
100,0.93,90,36.6,Sleep Disturbance
107,1.47,92,36.6,Sleep Disturbance
108,1.23,90,36.7,Sleep Disturbance
80,0.02,99,36.0,Deep Sleep
82,0.27,98,36.5,REM
86,0.56,95,36.5,Awake
86,0.11,98,36.4,Light Sleep
85,0.17,98,36.2,Light Sleep
97,0.61,97,36.7,Awake
108,0.89,94,36.6,Awake
96,0.86,95,36.8,Awake
85,0.39,94,36.4,Awake
89,0.73,97,36.7,Awake
63,0.04,100,35.8,Deep Sleep
71,0.02,98,35.9,Deep Sleep
108,0.72,94,36.8,Awake
96,1.28,93,36.5,Sleep Disturbance
80,0.01,99,36.1,Deep Sleep
80,0.03,100,36.2,Deep Sleep
86,0.11,97,36.1,Light Sleep
72,0.14,96,36.3,Light Sleep
118,0.77,94,36.8,Sleep Disturbance
92,0.77,97,36.4,Awake
88,0.73,94,36.6,Awake
90,0.16,99,36.3,REM
88,0.23,95,36.4,REM
77,0.19,99,36.2,REM
78,0.22,96,36.5,REM
106,0.46,96,36.5,Awake
85,0.95,98,36.8,Awake
79,0.27,95,36.1,REM
69,0.04,99,36.1,Deep Sleep
95,0.1,96,36.4,REM
78,0.16,99,36.2,REM
90,0.14,96,36.4,REM
88,0.09,97,36.3,Light Sleep
97,0.45,95,36.4,Awake
73,0.05,100,36.0,Deep Sleep
82,0.26,95,36.2,REM
74,0.16,97,36.3,Light Sleep
87,0.85,98,36.6,Awake
62,0.02,99,35.9,Deep Sleep
97,0.79,91,36.6,Sleep Disturbance
80,0.1,97,36.0,Light Sleep
90,1.21,94,36.7,Sleep Disturbance
116,1.26,93,36.9,Sleep Disturbance
67,0.03,99,35.9,Deep Sleep
73,0.01,99,36.1,Deep Sleep
103,1.16,95,36.6,Sleep Disturbance
114,0.77,95,36.7,Sleep Disturbance
77,0.06,97,36.2,Light Sleep
90,1.01,90,36.8,Sleep Disturbance
82,0.12,99,36.2,REM
85,0.64,94,36.5,Awake
100,1.45,90,36.6,Sleep Disturbance
76,0.19,95,36.1,REM
94,1.01,94,36.6,Sleep Disturbance
119,1.39,92,36.5,Sleep Disturbance
76,0.01,97,36.2,Deep Sleep
73,0.18,97,36.2,Light Sleep
103,0.59,95,36.6,Sleep Disturbance
76,0.14,99,36.2,Light Sleep
95,0.15,95,36.2,REM
100,1.4,91,36.9,Sleep Disturbance
89,0.69,94,36.6,Awake
85,0.24,99,36.4,REM
101,0.73,93,36.7,Sleep Disturbance
93,0.77,95,36.7,Sleep Disturbance
81,0.19,95,36.4,REM
107,0.76,91,36.9,Sleep Disturbance
93,0.57,98,36.5,Awake
79,0.09,95,36.1,Light Sleep
112,0.78,93,36.6,Sleep Disturbance
99,1.07,91,36.6,Sleep Disturbance
81,0.14,99,36.2,Light Sleep
90,0.22,97,36.4,REM
86,0.13,99,36.1,REM
71,0.18,99,36.1,Light Sleep
76,0.04,97,35.8,Deep Sleep
84,0.19,99,36.4,REM
106,0.65,91,36.7,Sleep Disturbance
90,0.97,90,36.6,Sleep Disturbance
76,0.21,99,36.5,REM
113,1.19,93,36.7,Sleep Disturbance
86,0.87,98,36.4,Awake
104,0.72,92,36.9,Sleep Disturbance
95,0.75,91,36.8,Sleep Disturbance
86,0.79,96,36.7,Awake
95,1.41,94,36.8,Sleep Disturbance
88,0.55,95,36.5,Awake
75,0.11,95,36.4,Light Sleep
105,0.65,94,36.5,Awake
80,0.08,99,36.3,Light Sleep
77,0.05,96,35.9,Deep Sleep
80,0.28,98,36.3,REM
90,0.21,98,36.3,REM
78,0.28,97,36.1,REM
78,0.23,98,36.4,REM
76,0.0,98,35.8,Deep Sleep
60,0.04,96,36.0,Deep Sleep
104,0.73,98,36.6,Awake
108,0.5,97,36.6,Awake
116,1.12,90,36.6,Sleep Disturbance
79,0.26,95,36.4,REM
117,0.79,92,36.6,Sleep Disturbance
75,0.21,99,36.4,REM
66,0.04,98,36.1,Deep Sleep
60,0.03,96,36.1,Deep Sleep
65,0.01,99,36.0,Deep Sleep
77,0.02,98,36.1,Deep Sleep
100,0.58,95,36.4,Awake
100,0.81,93,36.7,Sleep Disturbance
74,0.06,98,36.3,Light Sleep
72,0.11,95,36.1,Light Sleep
78,0.01,100,36.1,Deep Sleep
82,0.12,96,36.2,Light Sleep
106,0.42,94,36.6,Awake
108,1.24,92,36.9,Sleep Disturbance
95,0.73,98,36.7,Awake
104,0.87,94,36.5,Awake
86,0.16,98,36.1,Light Sleep
64,0.01,98,36.2,Deep Sleep
86,0.09,98,36.4,Light Sleep
76,0.01,99,36.2,Deep Sleep
91,0.96,96,36.7,Awake
89,0.23,98,36.3,REM
89,0.11,97,36.4,REM
81,0.28,96,36.1,REM
66,0.01,97,36.1,Deep Sleep
80,0.18,99,36.4,REM
78,0.02,97,36.1,Deep Sleep
113,1.33,94,36.6,Sleep Disturbance
85,0.24,98,36.3,REM
64,0.02,98,36.2,Deep Sleep
106,0.79,94,36.9,Sleep Disturbance
70,0.19,95,36.3,Light Sleep
81,0.07,95,36.2,Light Sleep
81,0.06,96,36.2,Light Sleep
84,0.26,97,36.3,REM
70,0.06,99,36.4,Light Sleep
87,0.07,97,36.3,Light Sleep
105,0.78,94,36.6,Awake
84,0.06,96,36.1,Light Sleep
95,0.88,92,36.7,Sleep Disturbance
100,1.4,91,36.5,Sleep Disturbance
76,0.05,99,36.1,Light Sleep
80,0.25,96,36.2,REM
90,0.26,97,36.3,REM
74,0.03,96,36.2,Deep Sleep
80,0.03,97,35.8,Deep Sleep
82,0.23,98,36.5,REM
101,0.68,92,36.8,Sleep Disturbance
87,0.17,98,36.2,Light Sleep
62,0.04,100,35.9,Deep Sleep
107,0.9,94,36.8,Awake
101,1.48,92,36.9,Sleep Disturbance
81,0.15,98,36.2,Light Sleep
93,0.22,96,36.2,REM
76,0.18,95,36.1,REM
60,0.01,96,35.9,Deep Sleep
120,0.85,91,36.6,Sleep Disturbance
68,0.01,100,36.0,Deep Sleep
77,0.17,98,36.0,Light Sleep
111,1.34,92,36.9,Sleep Disturbance
98,0.55,90,36.7,Sleep Disturbance
72,0.04,98,35.9,Deep Sleep
104,1.49,95,36.6,Sleep Disturbance
98,0.45,96,36.7,Awake
74,0.03,96,36.1,Deep Sleep
76,0.03,100,36.1,Deep Sleep
83,0.2,96,36.3,REM
79,0.04,97,35.9,Deep Sleep
77,0.01,96,35.9,Deep Sleep
78,0.18,97,36.1,REM
62,0.01,100,35.9,Deep Sleep
90,0.79,98,36.5,Awake
65,0.01,98,36.1,Deep Sleep
79,0.01,98,36.0,Deep Sleep
85,0.43,94,36.5,Awake
94,0.72,93,36.7,Sleep Disturbance
92,0.65,95,36.9,Sleep Disturbance
85,0.61,97,36.6,Awake
107,0.34,97,36.6,Awake
90,0.82,95,37.0,Sleep Disturbance
99,1.46,91,37.0,Sleep Disturbance
73,0.03,98,36.1,Deep Sleep
95,0.26,99,36.5,REM
87,0.18,99,36.1,Light Sleep
75,0.09,95,36.0,Light Sleep
72,0.04,96,35.8,Deep Sleep
79,0.03,98,36.1,Deep Sleep
86,0.87,97,36.5,Awake
94,0.35,97,36.4,Awake
86,0.27,99,36.5,REM
115,1.23,95,36.8,Sleep Disturbance
107,0.69,97,36.7,Awake
64,0.03,98,35.9,Deep Sleep
114,0.9,92,37.0,Sleep Disturbance
73,0.03,97,36.2,Deep Sleep
95,1.32,92,36.7,Sleep Disturbance
90,0.27,99,36.1,REM
78,0.01,98,36.1,Deep Sleep
87,0.67,96,36.6,Awake
116,0.68,92,36.8,Sleep Disturbance
71,0.1,96,36.4,Light Sleep
79,0.28,96,36.3,REM
72,0.06,95,36.3,Light Sleep
114,0.86,95,36.8,Sleep Disturbance
70,0.0,98,35.9,Deep Sleep
104,0.92,94,36.5,Awake
98,1.08,94,36.5,Sleep Disturbance
101,0.37,98,36.6,Awake
92,1.32,91,36.9,Sleep Disturbance
80,0.2,98,36.1,REM
117,0.93,90,36.9,Sleep Disturbance
110,0.46,94,36.7,Awake
92,0.25,95,36.4,REM
66,0.03,97,36.0,Deep Sleep
89,0.41,97,36.6,Awake
108,0.91,92,36.6,Sleep Disturbance
71,0.02,96,36.0,Deep Sleep
96,0.72,97,36.8,Awake
69,0.02,98,35.9,Deep Sleep
106,0.32,94,36.5,Awake
107,0.45,97,36.7,Awake
93,0.29,97,36.5,REM
106,0.87,97,36.5,Awake
105,0.81,96,36.7,Awake
107,1.45,91,36.6,Sleep Disturbance
111,1.01,93,36.7,Sleep Disturbance
88,0.91,98,36.7,Awake
94,0.15,98,36.3,REM
66,0.04,97,35.9,Deep Sleep
90,0.62,94,36.8,Sleep Disturbance
92,0.28,98,36.1,REM
95,0.47,94,36.5,Awake
81,0.22,96,36.4,REM
73,0.15,98,36.0,Light Sleep
90,0.18,95,36.2,REM
107,1.39,92,36.6,Sleep Disturbance
95,0.36,97,36.6,Awake
60,0.02,100,36.0,Deep Sleep
103,0.77,93,36.7,Sleep Disturbance
77,0.16,98,36.2,REM
90,0.12,95,36.2,Light Sleep
80,0.03,96,35.8,Deep Sleep
87,0.16,96,36.1,Light Sleep
74,0.14,99,36.4,Light Sleep
92,1.31,94,36.8,Sleep Disturbance
91,0.14,97,36.3,REM
71,0.03,98,35.9,Deep Sleep
79,0.03,99,36.2,Deep Sleep
75,0.18,98,36.4,Light Sleep
68,0.05,98,35.9,Deep Sleep
88,0.15,98,36.1,Light Sleep
93,0.29,99,36.4,REM
88,0.2,98,36.2,Light Sleep
82,0.09,98,36.3,Light Sleep
101,1.3,92,36.9,Sleep Disturbance
109,0.56,90,36.6,Sleep Disturbance
68,0.03,98,36.1,Deep Sleep
84,0.15,95,36.3,REM
105,0.87,92,36.6,Sleep Disturbance
72,0.19,96,36.1,Light Sleep
105,0.39,98,36.7,Awake
75,0.1,98,36.0,Light Sleep
87,0.81,97,36.7,Awake
